Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 137.0.7151.119,Testing all Test Cases for the Cura HealthCare Service,,24-06-2025 15:37:36,24-06-2025 15:39:12,1m - 35.523s,PASSED
,,,,,,,
Test Cases/Reusable Modules/Login,Chrome 137.0.7151.119,This test case to is to test the login functionality with valid user credentials.,,24-06-2025 15:37:38,24-06-2025 15:37:55,17.283s,PASSED
"DATA BINDING - {""(Default) UserN..."":"""",""(Default) Passw..."":""********""}",,,,,,,
"openBrowser("""")",Chrome 137.0.7151.119,,,24-06-2025 15:37:39,24-06-2025 15:37:45,5.994s,PASSED
navigateToUrl(G_MainURL),Chrome 137.0.7151.119,,,24-06-2025 15:37:45,24-06-2025 15:37:48,2.781s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/a_Make Appointment""))",Chrome 137.0.7151.119,,,24-06-2025 15:37:48,24-06-2025 15:37:49,1.257s,PASSED
if (!(UserName)),Chrome 137.0.7151.119,,,24-06-2025 15:37:49,24-06-2025 15:37:49,0.021s,PASSED
if (!(Password)),Chrome 137.0.7151.119,,,24-06-2025 15:37:49,24-06-2025 15:37:49,0.012s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Service/Login/input_Username_username""), UserName)",Chrome 137.0.7151.119,,,24-06-2025 15:37:49,24-06-2025 15:37:50,1.124s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Service/Login/input_Password_password""), Auth.EncryptText(Password))",Chrome 137.0.7151.119,,,24-06-2025 15:37:50,24-06-2025 15:37:51,0.609s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Login/button_Login""))",Chrome 137.0.7151.119,,,24-06-2025 15:37:51,24-06-2025 15:37:52,0.986s,PASSED
"verifyElementText(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/h2_Make Appointment""), ""Make Appointment"")",Chrome 137.0.7151.119,,,24-06-2025 15:37:52,24-06-2025 15:37:53,0.735s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Check User Profile,Chrome 137.0.7151.119,,,24-06-2025 15:37:55,24-06-2025 15:38:07,12.505s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""User Credentials - Internal"").getValue(""UserName"", 1), ""Password"":findTestData(""User Credentials - Internal"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:37:55,24-06-2025 15:38:04,8.762s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/i_fa fa-bars""))",Chrome 137.0.7151.119,,,24-06-2025 15:38:04,24-06-2025 15:38:04,0.416s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/a_Profile""))",Chrome 137.0.7151.119,,,24-06-2025 15:38:04,24-06-2025 15:38:05,0.766s,PASSED
"verifyElementText(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/h2_Profile""), ""Profile"")",Chrome 137.0.7151.119,,,24-06-2025 15:38:05,24-06-2025 15:38:05,0.360s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Logout User,Chrome 137.0.7151.119,,,24-06-2025 15:38:07,24-06-2025 15:38:22,14.931s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""Valid User Credentials"").getValue(""UserName"", 1), ""Password"":findTestData(""Valid User Credentials"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:07,24-06-2025 15:38:18,10.640s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Logout""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:18,24-06-2025 15:38:20,2.181s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Reserve A Medical Appointment,Chrome 137.0.7151.119,,,24-06-2025 15:38:22,24-06-2025 15:38:42,19.491s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""Valid User Credentials"").getValue(""UserName"", 1), ""Password"":findTestData(""Valid User Credentials"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:22,24-06-2025 15:38:32,9.736s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Make Appointment""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:32,24-06-2025 15:38:38,5.464s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Logout""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:38,24-06-2025 15:38:40,2.107s,PASSED
,,,,,,,
Test Cases/Week 2 - Keyword Driven Test/Make An Appointment - Manually,Chrome 137.0.7151.119,,,24-06-2025 15:38:42,24-06-2025 15:39:12,30.141s,PASSED
"Auth.Login(G_Cura_UserName, G_Cura_Password)",Chrome 137.0.7151.119,,,24-06-2025 15:38:42,24-06-2025 15:38:51,8.893s,PASSED
for (def n : (0..2)),Chrome 137.0.7151.119,,,24-06-2025 15:38:51,24-06-2025 15:39:09,17.978s,PASSED
closeBrowser(),Chrome 137.0.7151.119,,,24-06-2025 15:39:09,24-06-2025 15:39:10,0.998s,PASSED
"Completed.Congrats(""Tester"")",Chrome 137.0.7151.119,,,24-06-2025 15:39:10,24-06-2025 15:39:10,0.014s,PASSED
